Moisture,Temperature,pH,Support Growth
62.84,30.5,10.89,Yes
74.97,22.57,13.8,No
70.73,29.27,8.41,No
58.73,49.2,2.03,No
37.81,45.24,9.48,No
65.87,31.22,7.21,Yes
62.69,48.54,13.54,No
35.7,26.36,5.95,No
25.71,48.03,1.92,No
38.16,15.61,0.37,No
31.33,45.92,6.52,No
61.31,10.28,3.11,No
90.96,1.81,9.29,No
10.86,39.67,1.58,No
14.23,45.07,3.61,No
27.81,7.44,4.07,No
55.34,5.81,6.01,No
79.73,33.83,3.53,No
42.1,41.26,11.46,No
91.31,35.31,8.64,No
0.84,1.55,4.13,No
51.07,24.01,0.19,No
95.24,26.37,0.32,No
43.74,22.7,8.89,No
14.01,37.09,3.64,No
47.14,1.42,2.5,No
16.2,31.08,5.29,No
58.84,7.43,7.35,No
42.77,11.37,3.58,No
53.45,43.02,3.27,No
67.21,39.38,11.32,No
66.75,43.44,2.72,No
53.17,1.75,1.08,No
31.51,42.63,13.47,No
40.45,22.81,12.12,No
19.4,6.67,11.8,No
7.05,7.16,1.91,No
57.35,9.66,5.78,No
38.99,31.15,2.28,Yes
65.03,41.53,12.09,No
80.31,0.57,7.4,No
37.31,35.2,9.15,No
44.72,39.97,12.5,No
40.01,48.15,4.76,No
40.98,22.99,5.69,No
34.54,1.48,1.87,No
41.14,0.8,7.01,No
8.35,49.15,1.43,No
22.58,10.07,10.23,No
22.66,24.01,1.54,No
9.9,10.68,9.82,No
67.74,23.08,13.09,No
43.25,39.68,11.51,No
91.38,2.78,4.15,No
70.93,48.72,4.22,No
23.12,31.07,5.74,Yes
86.54,14.51,0.15,No
63.95,17.39,4.54,No
76.4,13.92,2.53,No
5.62,28.18,7.37,No
9.36,1.25,0.84,No
67.18,36.58,13.93,No
42.99,21.5,10.4,No
90.58,7.67,13.75,No
74.86,29.75,3.71,Yes
4.48,4.67,5.34,No
64.57,40.95,11.3,No
78,44.76,10.74,No
44.72,39.57,7.54,No
83.56,15.78,7.79,No
5,14.81,3.41,No
73.12,47.03,0.57,No
49.27,9.33,4.82,No
80.41,36,3.57,No
29.8,0.05,1.68,No
65.36,34.45,5.65,Yes
73.76,22.45,11.62,No
87.15,34.1,8.37,No
14.79,25.01,2.69,No
30.82,21.56,13.44,No
0.24,30.4,4.88,No
99.98,45.65,12.9,No
62.89,0.56,9.79,No
13.51,3.11,9.39,No
1.36,8.92,10.46,No
7.51,6.9,12.47,No
18.36,46.27,5.6,No
42.84,36.89,5.12,No
66.02,20.19,7.8,No
57.1,27.13,2.44,No
5.22,26.38,12.4,No
89.93,24.58,11.32,No
43.47,36.6,6.89,No
33.04,38.82,5.25,No
13.93,38.15,0.33,No
39.03,40.63,5.24,No
92.54,41.55,12.75,No
63.69,35.83,12.33,No
13.49,49.78,1.65,No
40.68,46.07,7.56,No
34.51,8.91,1.52,No
35.08,35.07,6.39,No
95.81,13.83,0.77,No
82.61,14.01,4.8,No
62.21,41.65,2.38,No
75.71,49.3,4.74,No
31.04,8.3,8.38,No
1.71,18.52,2.75,No
10.14,28.29,8.41,No
55.27,28.81,7.97,No
73.92,34.26,1.82,Yes
38.72,11.15,10.5,No
81.68,40.99,9.95,No
75.58,21.6,13.82,No
94.18,49.65,10.03,No
58.66,7.13,9.53,No
18.83,10.61,5.58,No
29.33,23.95,13.13,No
20.7,48.95,8.81,No
35.34,44.45,0.07,No
46.57,19.85,12.63,No
65.77,48.06,9,No
12.54,10.68,13.86,No
79.74,17.62,13.69,No
57.15,37.31,11.57,No
26.9,38.28,13.92,No
98.86,34.13,1.41,No
81.65,23.59,12.13,No
23.6,6.71,6.51,No
49.66,11.45,6.55,No
88.79,26.81,13.56,No
90.86,19.78,13.67,No
63.71,21.5,0.94,No
10.04,35.04,2.21,No
39.62,8.97,10.28,No
42.28,30.51,0.08,Yes
35.41,1.14,8.28,No
64.68,8.48,1.24,No
63.46,40.92,11.94,No
45.65,31.87,5.44,Yes
67.85,7.53,6.33,No
28.79,37.56,2.32,No
44.37,15.52,13.75,No
56.68,30.43,1.15,Yes
99.21,44.66,10.35,No
20.85,9.39,4.28,No
28.6,23.01,7.24,No
75.84,38.43,10.93,No
11.02,26.96,6.12,Yes
43.72,42.49,11.04,No
16.9,4.02,4.93,No
52.88,18.71,5.37,No
68.02,0.09,13.41,No
59.85,18.34,12.14,No
83.59,36.25,7.49,No
63.95,44.52,9.76,No
17.18,31.87,2.46,No
37.04,33.83,7.54,No
63.58,48.93,3.67,No
17.48,44,3.75,No
4.57,29.18,9.37,No
24.92,30.08,6.09,Yes
0.34,45.08,7.06,No
84.33,19.39,8.64,No
83.8,32.33,6.49,Yes
52.74,9.04,7.07,No
22.47,47.76,6.34,No
47.63,45.31,10.42,No
70.39,28.48,11.48,No
66.56,30.62,13.38,Yes
31.85,36.59,3.26,No
44.95,10.41,4.91,No
38.52,34.64,5.26,No
12.06,46.09,13.8,No
63.88,27.9,2.14,No
87.46,15.2,12.35,No
24.2,47.16,6.3,No
94.75,37.4,12.44,No
85.82,3.21,13.16,No
4.37,31.76,5.39,No
34.27,40.83,9.02,No
24.41,29.42,8.91,No
48.11,48.18,1.97,No
87.34,13.08,2.17,No
8.39,37.07,0.81,No
3,3.59,0.62,No
93.34,12.3,4.54,No
66.21,12.32,2.32,No
43.25,26.46,3.59,No
18.6,23.96,5.44,No
53.97,4.14,5.59,No
14.38,13.77,1.67,No
74.64,49.82,3.28,No
60.64,11.65,5.6,No
84.67,14.21,3.28,No
49.23,9.96,7.06,No
91.58,37.82,0.88,No
2,33.45,1.79,No
91.94,41.64,6.49,No
39.07,28.83,10.82,No
40.79,19.87,4.23,No
40.9,33.27,13.58,No
95.12,4.47,1.64,No
68.54,6.57,6.99,No
52.62,34.3,0.19,Yes
10.54,6.69,0.7,No
80.91,16.13,2.49,No
92.55,32.71,8.82,No
68.42,12.64,4.34,No
21.88,11.62,11.82,No
92.58,32.27,10.93,No
24.33,45.56,12.49,No
57.01,3.78,10.94,No
79.18,2.36,3.57,No
30.03,25.83,0.98,No
54.22,14.17,0.32,No
38.22,43.24,5.29,No
90.92,29.1,4.87,No
12.11,36.82,11.8,No
77.95,48.29,13.17,No
31.38,33.29,9.18,No
68.38,12.58,1.55,No
26.05,10.02,0.43,No
45.54,9.38,2.59,No
66.82,34.89,13.48,Yes
87.68,34.02,2.2,No
14.46,13.64,6.43,No
31.99,27.27,11.72,No
